SIMULATED ANNEALING LOG

Step=33 | Candidate=92.724 | Current=92.724 | Best=92.754 | Delta=0.069 | Prob=1.0000 | T=2.2854 | Swap=[Chandra's Phoenix] -> [Goblin Warchief] | Accepted=True
Step=34 | Candidate=92.672 | Current=92.672 | Best=92.754 | Delta=-0.052 | Prob=1.0000 | T=2.2334 | Swap=[Hellspark Elemental] -> [Gempalm Incinerator] | Accepted=True
Step=35 | Candidate=92.552 | Current=92.552 | Best=92.754 | Delta=-0.121 | Prob=1.0000 | T=2.1826 | Swap=[Chandra's Phoenix] -> [Burning-Tree Emissary] | Accepted=True
Step=36 | Candidate=92.390 | Current=92.390 | Best=92.754 | Delta=-0.162 | Prob=1.0000 | T=2.1329 | Swap=[Stormblood Berserker] -> [Grim Lavamancer] | Accepted=True
Step=37 | Candidate=92.712 | Current=92.712 | Best=92.754 | Delta=0.322 | Prob=1.0000 | T=2.0843 | Swap=[Searing Spear] -> [Domri Rade] | Accepted=True
Step=38 | Candidate=92.373 | Current=92.373 | Best=92.754 | Delta=-0.339 | Prob=1.0000 | T=2.0369 | Swap=[Lava Spike] -> [Searing Blaze] | Accepted=True
Step=39 | Candidate=92.458 | Current=92.458 | Best=92.754 | Delta=0.085 | Prob=1.0000 | T=1.9905 | Swap=[Chandra's Phoenix] -> [Gore-House Chainwalker] | Accepted=True
Step=40 | Candidate=92.250 | Current=92.250 | Best=92.754 | Delta=-0.208 | Prob=1.0000 | T=1.9452 | Swap=[Pyrokinesis] -> [Stomping Ground] | Accepted=True
Step=41 | Candidate=92.133 | Current=92.133 | Best=92.754 | Delta=-0.117 | Prob=1.0000 | T=1.9009 | Swap=[Gempalm Incinerator] -> [Goblin Matron] | Accepted=True
Step=42 | Candidate=92.317 | Current=92.317 | Best=92.754 | Delta=0.183 | Prob=1.0000 | T=1.8577 | Swap=[Reckless Waif] -> [Siege-Gang Commander] | Accepted=True
Step=43 | Candidate=92.300 | Current=92.300 | Best=92.754 | Delta=-0.017 | Prob=1.0000 | T=1.8154 | Swap=[Arc Trail] -> [Taiga] | Accepted=True
Step=44 | Candidate=92.705 | Current=92.705 | Best=92.754 | Delta=0.405 | Prob=1.0000 | T=1.7741 | Swap=[Goblin Lackey] -> [Hellrider] | Accepted=True
Step=45 | Candidate=92.541 | Current=92.705 | Best=92.754 | Delta=-0.164 | Prob=1.0000 | T=1.7337 | Swap=[Pillar of Flame] -> [Pyrostatic Pillar] | Accepted=False
Step=46 | Candidate=92.475 | Current=92.475 | Best=92.754 | Delta=-0.230 | Prob=1.0000 | T=1.6942 | Swap=[Goblin Matron] -> [Stingscourger] | Accepted=True
Step=47 | Candidate=92.951 | Current=92.951 | Best=92.951 | Delta=0.475 | Prob=1.0000 | T=1.6557 | Swap=[Siege-Gang Commander] -> [Ghor-Clan Rampager] | Accepted=True
Step=48 | Candidate=93.097 | Current=93.097 | Best=93.097 | Delta=0.146 | Prob=1.0000 | T=1.6180 | Swap=[Goblin Matron] -> [Stingscourger] | Accepted=True
Step=49 | Candidate=92.839 | Current=92.839 | Best=93.097 | Delta=-0.258 | Prob=1.0000 | T=1.5811 | Swap=[Koth of the Hammer] -> [Lightning Bolt] | Accepted=True
Step=50 | Candidate=92.887 | Current=92.887 | Best=93.097 | Delta=0.048 | Prob=1.0000 | T=1.5451 | Swap=[Goblin Bushwhacker] -> [Grim Lavamancer] | Accepted=True
Step=51 | Candidate=92.694 | Current=92.694 | Best=93.097 | Delta=-0.194 | Prob=1.0000 | T=1.5100 | Swap=[Searing Blaze] -> [Pyrostatic Pillar] | Accepted=True
Step=52 | Candidate=92.794 | Current=92.794 | Best=93.097 | Delta=0.100 | Prob=1.0000 | T=1.4756 | Swap=[Pillar of Flame] -> [Rootbound Crag] | Accepted=True
Step=53 | Candidate=92.905 | Current=92.905 | Best=93.097 | Delta=0.111 | Prob=1.0000 | T=1.4420 | Swap=[Gore-House Chainwalker] -> [Grim Lavamancer] | Accepted=True
Step=54 | Candidate=92.714 | Current=92.714 | Best=93.097 | Delta=-0.190 | Prob=1.0000 | T=1.4092 | Swap=[Spikeshot Elder] -> [Mogg Fanatic] | Accepted=True
Step=55 | Candidate=92.683 | Current=92.683 | Best=93.097 | Delta=-0.032 | Prob=1.0000 | T=1.3771 | Swap=[Goblin Warchief] -> [Hellspark Elemental] | Accepted=True
Step=56 | Candidate=92.938 | Current=92.938 | Best=93.097 | Delta=0.255 | Prob=1.0000 | T=1.3458 | Swap=[Spikeshot Elder] -> [Goblin Sharpshooter] | Accepted=True
Step=57 | Candidate=92.875 | Current=92.875 | Best=93.097 | Delta=-0.062 | Prob=1.0000 | T=1.3151 | Swap=[Stormblood Berserker] -> [Lightning Mauler] | Accepted=True
Step=58 | Candidate=92.656 | Current=92.656 | Best=93.097 | Delta=-0.219 | Prob=1.0000 | T=1.2852 | Swap=[Hellspark Elemental] -> [Manic Vandal] | Accepted=True
Step=59 | Candidate=93.016 | Current=93.016 | Best=93.097 | Delta=0.359 | Prob=1.0000 | T=1.2559 | Swap=[Stormblood Berserker] -> [Burning-Tree Emissary] | Accepted=True
Step=60 | Candidate=92.985 | Current=92.985 | Best=93.097 | Delta=-0.031 | Prob=1.0000 | T=1.2274 | Swap=[Shrine of Burning Rage] -> [Chandra, Pyromaster] | Accepted=True
Step=61 | Candidate=93.262 | Current=93.262 | Best=93.262 | Delta=0.277 | Prob=1.0000 | T=1.1994 | Swap=[Domri Rade] -> [Pillar of Flame] | Accepted=True
Step=62 | Candidate=92.831 | Current=93.262 | Best=93.262 | Delta=-0.431 | Prob=1.0000 | T=1.1721 | Swap=[Stromkirk Noble] -> [Spikeshot Elder] | Accepted=False
Step=63 | Candidate=93.154 | Current=93.154 | Best=93.262 | Delta=-0.108 | Prob=1.0000 | T=1.1454 | Swap=[Pillar of Flame] -> [Mutavault] | Accepted=True
Step=64 | Candidate=93.121 | Current=93.121 | Best=93.262 | Delta=-0.033 | Prob=1.0000 | T=1.1194 | Swap=[Grim Lavamancer] -> [Lightning Mauler] | Accepted=True
Step=65 | Candidate=93.061 | Current=93.061 | Best=93.262 | Delta=-0.061 | Prob=1.0000 | T=1.0939 | Swap=[Shrine of Burning Rage] -> [Pillar of Flame] | Accepted=True
Step=66 | Candidate=93.288 | Current=93.288 | Best=93.288 | Delta=0.227 | Prob=1.0000 | T=1.0690 | Swap=[Mogg Fanatic] -> [Vulshok Refugee] | Accepted=True
Step=67 | Candidate=93.288 | Current=93.288 | Best=93.288 | Delta=0.000 | Prob=1.0000 | T=1.0446 | Swap=[Chandra, Pyromaster] -> [Lava Spike] | Accepted=True
Step=68 | Candidate=93.299 | Current=93.299 | Best=93.299 | Delta=0.011 | Prob=1.0000 | T=1.0209 | Swap=[Manic Vandal] -> [Flinthoof Boar] | Accepted=True
Step=69 | Candidate=93.328 | Current=93.328 | Best=93.328 | Delta=0.030 | Prob=1.0000 | T=0.9976 | Swap=[Gore-House Chainwalker] -> [Keldon Marauders] | Accepted=True
Step=70 | Candidate=93.537 | Current=93.537 | Best=93.537 | Delta=0.209 | Prob=1.0000 | T=0.9749 | Swap=[Arc Trail] -> [Price of Progress] | Accepted=True
Step=71 | Candidate=91.947 | Current=93.537 | Best=93.537 | Delta=-1.590 | Prob=1.0000 | T=0.9527 | Swap=[Spikeshot Elder] -> [Gore-House Chainwalker] | Accepted=False
Step=72 | Candidate=93.397 | Current=93.537 | Best=93.537 | Delta=-0.140 | Prob=1.0000 | T=0.9310 | Swap=[Reckless Waif] -> [Ash Zealot] | Accepted=False
Step=73 | Candidate=93.559 | Current=93.559 | Best=93.559 | Delta=0.022 | Prob=1.0000 | T=0.9099 | Swap=[Vulshok Refugee] -> [Fanatic of Mogis] | Accepted=True
Step=74 | Candidate=93.412 | Current=93.559 | Best=93.559 | Delta=-0.147 | Prob=1.0000 | T=0.8891 | Swap=[Chandra's Phoenix] -> [Plated Geopede] | Accepted=False
Step=75 | Candidate=93.618 | Current=93.618 | Best=93.618 | Delta=0.059 | Prob=1.0000 | T=0.8689 | Swap=[Pillar of Flame] -> [Arid Mesa] | Accepted=True
